province,time,Export amount 
Shandong,3/1/21,96626.88
Hunan,3/1/21,15794.78
Jiangsu,3/1/21,7344.57
Shanxi,3/1/21,689.05
Shanghai,3/1/21,165.01
Guangdong,3/1/21,6611.82
Tianjin,3/1/21,251.4
Beijing,3/1/21,1
Shandong,2/1/21,121086.73
Henan,2/1/21,3950.88
Jiangsu,2/1/21,10062.11
Shanxi,2/1/21,686.04
Shanghai,2/1/21,271.28
Guangdong,2/1/21,504
Shandong,1/1/21,97001.75
Hunan,1/1/21,20626.46
Jiangsu,1/1/21,5171.1
Shanxi,1/1/21,492.88
Shanghai,1/1/21,277.71
Guangdong,1/1/21,10907.1
Shandong,12/1/20,113347
Henan,12/1/20,9683.3
Hunan,12/1/20,15184.74
Jiangsu,12/1/20,6719.19
Shanxi,12/1/20,2983.14
Shanghai,12/1/20,105.5
Guangxi,12/1/20,1148.04
Guangdong,12/1/20,4641.3
Jilin,12/1/20,1.1
Beijing,12/1/20,20.53
Shandong,11/1/20,72186.59
Jiangsu,11/1/20,9046.6
Shanxi,11/1/20,1118.08
Shanghai,11/1/20,47.16
Guangxi,11/1/20,783.22
Guangdong,11/1/20,2191.31
Shandong,10/1/20,99390.88
Henan,10/1/20,9029.38
Hunan,10/1/20,12101.61
Jiangsu,10/1/20,8528.96
Shanxi,10/1/20,1183.21
Shanghai,10/1/20,36.48
Guangxi,10/1/20,418.22
Guangdong,10/1/20,4822.58
Shandong,9/1/20,110018.45
Hunan,9/1/20,13226.52
Jiangsu,9/1/20,6837.75
Shanxi,9/1/20,1658.07
Shanghai,9/1/20,72.72
Guangxi,9/1/20,1050.36
Guangdong,9/1/20,4420.29
Jilin,9/1/20,0.98
Shandong,8/1/20,102346.43
Henan,8/1/20,10
Hunan,8/1/20,24717.56
Jiangsu,8/1/20,12242.01
Shanxi,8/1/20,1101.76
Shanghai,8/1/20,308.11
Guangxi,8/1/20,793.16
Guangdong,8/1/20,13190.31
Shandong,7/1/20,96676.75
Henan,7/1/20,6000
Jiangsu,7/1/20,11851.97
Shanxi,7/1/20,1993.73
Shanghai,7/1/20,597.2
Guangxi,7/1/20,789.92
Guangdong,7/1/20,2770.24
Tianjin,7/1/20,318.44
Jilin,7/1/20,0.49
Shandong,6/1/20,105286.08
Jiangsu,6/1/20,6149.53
Shanxi,6/1/20,1424.13
Shanghai,6/1/20,506.93
Guangxi,6/1/20,690.06
Shandong,5/1/20,130935.62
Henan,5/1/20,11000
Hunan,5/1/20,10979.3
Jiangsu,5/1/20,9395.39
Shanxi,5/1/20,1055.48
Shanghai,5/1/20,381.57
Guangxi,5/1/20,1169.84
Guangdong,5/1/20,231.88
